tournaments.RoundRobinTournament
AIs
	ZayNMCTS(100, -1, 100,10,0.3, 1.0, 0.0, 1.0, 0.4, 1.0, RandomBiasedAI, SimpleSqrtEvaluationFunction3)
	RandomBiasedAI
	LightRush(AStarPathFinding)
	HeavyRush(AStarPathFinding)
	mayari
maps
	C:\Users\igree\Desktop\Classes\Spring25\CS4900\PA3\MicroRTS\maps\10x10\basesWorkers10x10.xml
iterations	10
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	0	1	71	1	-1	0
0	0	0	2	46	1	-1	0
0	0	0	3	191	1	-1	0
0	0	0	4	685	1	-1	-1
0	0	1	0	575	1	-1	-1
0	0	1	2	644	1	-1	-1
0	0	1	3	863	1	-1	-1
0	0	1	4	685	1	-1	-1
0	0	2	0	773	0	-1	-1
0	0	2	1	565	0	-1	-1
0	0	2	3	667	0	-1	-1
0	0	2	4	1099	1	-1	-1
0	0	3	0	181	0	-1	1
0	0	3	1	969	0	-1	-1
0	0	3	2	823	1	-1	-1
0	0	3	4	1235	1	-1	-1
0	0	4	0	689	0	-1	-1
0	0	4	1	595	0	-1	-1
0	0	4	2	801	0	-1	-1
0	0	4	3	725	0	-1	-1
1	0	0	1	383	1	-1	0
1	0	0	2	570	0	-1	-1
1	0	0	3	177	1	-1	0
1	0	0	4	6	1	-1	0
1	0	1	0	146	0	-1	1
1	0	1	2	693	1	-1	-1
1	0	1	3	916	1	-1	-1
1	0	1	4	515	1	-1	-1
1	0	2	0	86	0	-1	1
1	0	2	1	10	1	-1	0
1	0	2	3	667	0	-1	-1
1	0	2	4	930	1	-1	-1
1	0	3	0	218	0	-1	1
1	0	3	1	888	0	-1	-1
1	0	3	2	823	1	-1	-1
1	0	3	4	1174	1	-1	-1
1	0	4	0	157	0	-1	1
1	0	4	1	645	0	-1	-1
1	0	4	2	801	0	-1	-1
1	0	4	3	725	0	-1	-1
2	0	0	1	106	1	-1	0
2	0	0	2	196	1	-1	0
2	0	0	3	31	1	-1	0
2	0	0	4	4	1	-1	0
2	0	1	0	50	0	-1	1
2	0	1	2	702	1	-1	-1
2	0	1	3	827	1	-1	-1
2	0	1	4	637	1	-1	-1
2	0	2	0	410	1	-1	-1
2	0	2	1	699	0	-1	-1
2	0	2	3	667	0	-1	-1
2	0	2	4	930	1	-1	-1
2	0	3	0	216	0	-1	1
2	0	3	1	764	0	-1	-1
2	0	3	2	823	1	-1	-1
2	0	3	4	1222	1	-1	-1
2	0	4	0	43	0	-1	1
2	0	4	1	633	0	-1	-1
2	0	4	2	700	1	-1	0
2	0	4	3	725	0	-1	-1
3	0	0	1	93	1	-1	0
3	0	0	2	0	1	-1	0
3	0	0	3	142	1	-1	0
3	0	0	4	42	1	-1	0
3	0	1	0	200	0	-1	1
3	0	1	2	732	1	-1	-1
3	0	1	3	1024	1	-1	-1
3	0	1	4	605	1	-1	-1
3	0	2	0	19	0	-1	1
3	0	2	1	773	0	-1	-1
3	0	2	3	667	0	-1	-1
3	0	2	4	930	1	-1	-1
3	0	3	0	0	0	-1	1
3	0	3	1	120	1	-1	0
3	0	3	2	823	1	-1	-1
3	0	3	4	1064	1	-1	-1
3	0	4	0	635	0	-1	-1
3	0	4	1	595	0	-1	-1
3	0	4	2	801	0	-1	-1
3	0	4	3	725	0	-1	-1
4	0	0	1	845	0	-1	-1
4	0	0	2	3000	-1	-1	-1
4	0	0	3	1245	0	-1	-1
4	0	0	4	745	1	-1	-1
4	0	1	0	685	1	-1	-1
4	0	1	2	745	1	-1	-1
4	0	1	3	690	1	-1	-1
4	0	1	4	435	1	-1	-1
4	0	2	0	177	0	-1	1
4	0	2	1	657	0	-1	-1
4	0	2	3	667	0	-1	-1
4	0	2	4	865	0	-1	-1
4	0	3	0	1250	0	-1	-1
4	0	3	1	689	0	-1	-1
4	0	3	2	823	1	-1	-1
4	0	3	4	1294	1	-1	-1
4	0	4	0	695	0	-1	-1
4	0	4	1	594	0	-1	-1
4	0	4	2	801	0	-1	-1
4	0	4	3	725	0	-1	-1
5	0	0	1	183	1	-1	0
5	0	0	2	3000	-1	-1	-1
5	0	0	3	700	0	-1	-1
5	0	0	4	725	1	-1	-1
5	0	1	0	1322	0	-1	1
5	0	1	2	645	1	-1	-1
5	0	1	3	733	1	-1	-1
5	0	1	4	610	1	-1	-1
5	0	2	0	380	0	-1	1
5	0	2	1	627	0	-1	-1
5	0	2	3	667	0	-1	-1
5	0	2	4	1049	1	-1	-1
5	0	3	0	9	0	-1	1
5	0	3	1	1090	0	-1	-1
5	0	3	2	823	1	-1	-1
5	0	3	4	989	1	-1	-1
5	0	4	0	797	0	-1	-1
5	0	4	1	617	0	-1	-1
5	0	4	2	801	0	-1	-1
5	0	4	3	725	0	-1	-1
6	0	0	1	786	1	-1	0
6	0	0	2	2	1	-1	0
6	0	0	3	403	1	-1	0
6	0	0	4	147	1	-1	0
6	0	1	0	0	0	-1	1
6	0	1	2	654	1	-1	-1
6	0	1	3	932	1	-1	-1
6	0	1	4	355	1	-1	-1
6	0	2	0	184	0	-1	1
6	0	2	1	706	0	-1	-1
6	0	2	3	667	0	-1	-1
6	0	2	4	881	0	-1	-1
6	0	3	0	292	0	-1	1
6	0	3	1	869	0	-1	-1
6	0	3	2	823	1	-1	-1
6	0	3	4	987	1	-1	-1
6	0	4	0	0	0	-1	1
6	0	4	1	520	0	-1	-1
6	0	4	2	801	0	-1	-1
6	0	4	3	725	0	-1	-1
7	0	0	1	424	1	-1	0
7	0	0	2	0	1	-1	0
7	0	0	3	4	1	-1	0
7	0	0	4	43	1	-1	0
7	0	1	0	7	0	-1	1
7	0	1	2	945	0	-1	-1
7	0	1	3	865	1	-1	-1
7	0	1	4	645	1	-1	-1
7	0	2	0	23	0	-1	1
7	0	2	1	784	0	-1	-1
7	0	2	3	667	0	-1	-1
7	0	2	4	881	0	-1	-1
7	0	3	0	51	0	-1	1
7	0	3	1	963	0	-1	-1
7	0	3	2	823	1	-1	-1
7	0	3	4	1323	1	-1	-1
7	0	4	0	7	0	-1	1
7	0	4	1	545	0	-1	-1
7	0	4	2	801	0	-1	-1
7	0	4	3	725	0	-1	-1
8	0	0	1	64	1	-1	0
8	0	0	2	2	1	-1	0
8	0	0	3	39	1	-1	0
8	0	0	4	1	1	-1	0
8	0	1	0	4	0	-1	1
8	0	1	2	787	1	-1	-1
8	0	1	3	621	1	-1	-1
8	0	1	4	715	1	-1	-1
8	0	2	0	119	0	-1	1
8	0	2	1	708	0	-1	-1
8	0	2	3	667	0	-1	-1
8	0	2	4	938	1	-1	-1
8	0	3	0	395	1	-1	-1
8	0	3	1	1074	0	-1	-1
8	0	3	2	823	1	-1	-1
8	0	3	4	1074	1	-1	-1
8	0	4	0	200	0	-1	1
8	0	4	1	475	0	-1	-1
8	0	4	2	801	0	-1	-1
8	0	4	3	725	0	-1	-1
9	0	0	1	35	1	-1	0
9	0	0	2	12	1	-1	0
9	0	0	3	3	1	-1	0
9	0	0	4	6	1	-1	0
9	0	1	0	4	0	-1	1
9	0	1	2	606	1	-1	-1
9	0	1	3	626	1	-1	-1
9	0	1	4	320	0	-1	1
9	0	2	0	2	0	-1	1
9	0	2	1	683	0	-1	-1
9	0	2	3	667	0	-1	-1
9	0	2	4	930	1	-1	-1
9	0	3	0	0	0	-1	1
9	0	3	1	1027	0	-1	-1
9	0	3	2	823	1	-1	-1
9	0	3	4	1212	1	-1	-1
9	0	4	0	0	0	-1	1
9	0	4	1	530	0	-1	1
9	0	4	2	801	0	-1	-1
9	0	4	3	725	0	-1	-1
Wins:
0	1	1	2	0	
8	0	1	0	1	
9	9	0	10	3	
9	9	0	0	0	
10	10	9	10	0	
Ties:
0	0	2	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
Average Game Length:
0.0	299.0	682.8	293.5	240.4	
299.3	0.0	715.3	809.7	552.2	
217.3	621.2	0.0	667.0	943.3	
261.2	845.3	823.0	0.0	1157.4	
322.3	574.9	790.9	725.0	0.0	
AI crashes:
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
opponent AI crashes:
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
AI timeout:
0	9	7	8	7	
0	0	0	0	0	
0	1	0	0	0	
0	1	0	0	0	
0	0	1	0	0	
opponent AI timeout:
0	0	0	0	0	
8	0	0	0	1	
8	0	0	0	0	
8	0	0	0	0	
6	1	0	0	0	
